target,text,reason,lang_reason
4,@sydianne solo recital ni gilbert sa cksc! do you want to go? ,,
0,@aries33007 yes but The passenger door got dented badly and the customers are furious ,,
4,Just went shopping with miranda and found my perfect dress for johnnie highs! ,,
0,went into a Fopp and the place just looks like a HMV now.  I like HMV but i like variety more ,,
0,must go do some work i guess  back later xxx,,
0,I'm awake and can't sleep bc I'm feeling sick  yuck!!!,,
0,"@transiit  Sorry to hear/read that. Do something indulgent today, something just for you. You deserve it!",,
0,@starkissed they deleted it after like two seconds ,,
0,can't go home yet... it's my coding day. ,,
0,@jordanknight Good Morning to u too!  I think we tinked at the same time lol!  Didn't get much sleep...bc @jonathanrknight made me sad ,,
0," my backrounds not working, help!",,
0,"I don,t want to watch that Whitney Houston clip because is gonna make cry ......  ",,
0,@jay_seebee WHAT?! i am so sorry ,,
4,"@setmajer i kinda wish you looked like that normally, actually. apart from the wack expression. the eyes are fucking COOL. ",,
4,@OfficialAkaye Some really good photos there! ,,
0,I dislike driving school. Also i have like no plans today anymore ,,
4,"@trixie360 Just remembered, I think Target didn't charge us for one thing we ordered online. ",,
0,My system is core dumping too often... I guess i am gonna lose my HD or RAM soon... ,,
4,@pudyot hi anaaaaaaa! ,non_english; ,non_english; 
4,"@spookerlabs it's called a telephone. I know it's new technology, but it's the way forward! ",,
0,likes the 2009 Lollapalooza lineup... why is chicago so far away ,,
0,Going 2 makeover again... pfft.... my page is boooring.... ,,
4,I'm off to bed now.  Thank God tomorrow is Friday!!!  Good night! ,,
4,"@mileycyrus  hey, could you follow me, please?! ",,
4,Driving to new york to buy my puppy ,,
4, ----------  V_Simmons: I'm Finally in Bed  ...,,
4,ARRRRGH!  im waaay tooo exicted atm!  nothing is for sure but still excited DX,,
0,Looks like the hashtag #momoams is being flooded w/ spam  Damn you lousy excuses for human beings w/ your incessant spam!!!,,
0,good morning! Me so sad bc Patty is not here ,,
0,@DjWhutItDew sheesh such harsh words ,,
4,Are you ready for your MoJo Makeover? Ask me for details ,non_english; ,non_english; 
4,Got surprise B'day blast from my friends!! Thx uuu ,,
4,just sent Ahmed to the salon for rebonding ,,
0,Just got hit in the head hard by my sister she threw a starburst at me ,,
0,bye cor ,,
0,@vidhyavenkat Yeah IPT ,,
0,@hatz94 dangit! My flight leaves atlanta at 9:30.  i totally coulda seen you haha,,
0,"Missing a chance to sub with Cheds.  More rational heads (Bill) prevailed however, as I sat here hacking up a lung. ",,
4,"@Quessir Ð£ÑÐ°-ÑÑÐ°, Ð¿Ð¾Ð·Ð´ÑÐ°Ð²Ð»Ñ?Ñ! Ð¢Ð²Ð¸, Ð´Ð¾Ð±ÑÐ¾Ðµ ÑÑÑÐ¾. Ð£ Ð²Ð°Ñ? ÑÐ°Ð±Ð¾ÑÐ°ÐµÑ beeline.ru? Ð£ Ð¼ÐµÐ½Ñ? ÑÐ¾Ð»ÑÐºÐ¾ ÑÐµÑÐµÐ· Ð¿ÑÐ¾ÐºÑ?Ð¸. ÐÐ¿Ñ?ÑÑ Ð³ÐµÐ¾.ÐºÐ· Ð²Ð¸Ð½Ð¾Ð²Ð°Ñ? ",non_english; ,non_english; 
4,"@mileycyrus it is VERY silly the stories the press make up, don't worry most of us understand they are all OTT anyway  x",,
0,i wish diana vickers would follow me! ,,
0,jus nothin!! bored at home n too lazy to prepare my lunch ,,
4,"@AshleyCSpence hahah yes! I always forget to text you, I keep meaning to.  but now we're twittering, so maybe i'll text you tomorrow. ",,
0,can u believe $43 to send 4 little books to argentina ,,
0,@ABZQuine I'm not at the beach! ,,
4,Tonight was supper fun. Chilled with some this cute guy and two pretty girls.  undercover thats always enjoyable. ;),,
0,thinkin abt goin to play but its kinda beginnin to rain!! ,,
4,You could be my punk rock princess ,,
0,I wasnt able to make it to the march today  but it's okay.....,,
0,@teemwilliams Why do u get so embarrassed when you hear one of your songs on the radio? Do you not like being recognized? ,,
0,@mileycyrus    where are u going girl?,,
4,Lunch has settled.  GH is on the tube.  Going to grab quick workout before next meeting!   peace out tweeps..,,
0,Heading to AIM to get my test done and then driving back to SD. I don't wanna leave  But I'll be back up tomorrow night!! Love. xx,,
0,me = shitty typer... i wish i had something better to do than read papers on schizophrenia right now ,,
0,I have been rushing around ALL day and haven't stopped yet  Bin bags ahoy!,,
0,This is officially the only day since starting at the HRC that I didn't like my job... And just saying that makes me want to cry ,,
4,its raining!!  im happy,,
4,@UndigestedHusks Hey I bet you can find me a terabyte IDE drive... ,,
0,"I am extra broken today. I took the meds my doc gave me for spasms but not for pain, was scared to take them at work. Now I want drugs ",,
0,Taking a break from my phone because i'm like really pissed for some reason. It's like if i talk to anyone im going to yell. complicated. ,,
0,@jamie_oliver http://twitpic.com/5onb3 - It's a shame these things always happen while I'm at work ,,
4,@r47z anticipating what la? ,,
4,"@lmjones32 in a text? Yeah, but since I'm following you I know you are responding to me. ",,
4,#followfriday - some tweeps who've chatted this week:  @somersetmarcy @Annhesketh @Markwoolie @paulpuddifoot @_Flik_ @twitseeker ,,
0,"Watching bb ; lousey one no crowd, interview or best bits  !!",,
4,says Good morning everyone! I hope it's a great day for you  http://plurk.com/p/1139t0,,
0,"Haha made mum let me listen to Fast Times in the car, had to get out when my fave song came on  Off to watch Twilight.",,
4,@howl_at_themoon -  Thanks bro. It was great seeing you last night.,,
4,"Circa Dupont, Peter is the best bartender, and having awesome times with my girl Kristee ",,
4,watching Conan. Thank god you're back. ,,
0,hail wont keep me from my kickboxing class....or will it. ,,
4,@tommcfly YESS ,,
0,"BGT is gonna be over soon  omg didnt think about that, WHAT WILL I DO WITH MY LIFE?",,
0,I may go home for a few days. I'm homesick. ,,
4,"@stigblog I was rather lucky, managed to skip doing a MSc; they liked me that much ",,
0,LAST DAY at McKimmon! ,,
0,@Tashlar i miss you 2  havent spoken in ages  xxx,,
0,12 yrs ago today the greatest grandpa in the world left my side    I miss u so much welito,,
4,worked a maintenance last night.  first time in a long time.  I'm feeling it this morning.  ...   ...   ,,
0,Had another super busy day. I miss you twits  Hopefully tomorrow will be better!!!,,
4,"@rlesberg, Thanks for the #FF Rock Star status! Big smile  !  Have a great weekend!",,
0,@sandflea82 shane dawson threw me off ,,
0,@misonrisa LOVE: my boobies! HATE: the back pain ,,
0,@SianBeeton This used to enrage me as a student as well. Especially work surfaces and the sink the kitchen. And washing up. ,,
4,Coffeeeee ,,
4,SOOO tired. going to get to bed soon. night night ya'll ,,
0,@DonnyCarson lol I know I know I feel so distraught about it ,,
4,"today i shall stay indoors and read my sister's keepers. come night time, it's a different plan altogether ",,
0,"@KissKickKillMe dammit  and i have no money at the moment, so i can't come visit you either :'( fuck...how long are you in S-nÃ¤s? &lt;3&lt;3&lt;3",,
4,YAY grad in only 3 days..... yet we have only begun and now ill miss alot of ppl.  byee my peeps!!!!! never forget you  ,,
0,I look like an ugly girl scout. ,,
4,@mileycyrus http://twitpic.com/67hac - Looks like you guys were having fun ,,
0,work again tomorrow. bummer. ,,
4,Hi Twitter.. having coffee ,,
0,...writing first ever blog post. Is hard. ,,
0,"Well, I guess I have to go brush my teeth again (kjaslgja garlic) and then actually get dressed. Uggh I dun wanna go to the dermatologist ",,
4,"@Jojofrenchy yes, that was jojofrenchy effect and me studying french for once ",,
4,@sonaal  lol...well cant beat u there can i???  wats uppp?? wats happening??,,
0,Well I start skool on wensday  why!! I don't wanta go  But then again I do (IDK),,
0,@egeek Har har! Very good! Unfortunately customers like faxing through documents rather than emailing ,,
4,"@cminzzz EMANUEL babe, their &quot;Soundtrack to a Headrush&quot; is amaazing ",,
0,"We have internet, both working and routeable IPv4 &amp; IPv6, coffee at #ipv6summit .. but my laptop is running out of batteries  PoIPv6 any1?",,
0,@feezmior u're not the only one ,,
0,my nose has slowly gotten more runny throughout the day... am I getting sick? ,,
4,"@thenewpsies my itouch died so no meryl on the tube for me today  boo, but i have my phone doubt trailer ",,
0,@Wizdom80 fyi she's not real : @Wizdom80 fyi she's not real  http://tinyurl.com/qo39c8,,
4,My Digital Harinezumi sample montage is up! Check it out  http://www.vimeo.com/4691982 Good night from the QC!,,
4,1:34pm and checked out of the hotel! bout to go eat at china diner then head over to tahoe to chill..yay! I've never been haha ,,
4,"@SashaBaby22 invent sex. Ps, Sangria is most def the drink of choice. I LOVE it  haha",,
0,@pedroaugusto that was uncalled for ,,
0,Stupid braces are making my lips so dry ,,
0,I'm suppose to get up to go find sumthin to wear tomorrow but I can't get up ,,
4,"@5chw4r7z Flock is a different UI for Firefox. So technically, you're using it too ",,
4,I am excited about my free @daytonalagoon water park tickets! locals - follow them ,,
0,My contact rolled to the back of my eyes ,,
4,Something real weird is goin on!!! ,,
0,My head hrts ,,
0,"Back to work. So much to do, so little time ",,
0,Got my EMPTY PC back.   Gotta start from the beginning.,,
0,@davidnotfrank I'm about to do the same thing. these damn slugs are getting on my nerves hardcore. ,,
0,Two hours later at sprint &amp; my phones worse.  ,,
4,@AquaAHH #ilove everything old school!  ,,
0,"being home alone all day kinda blowsss, especially when i have to clean the house  lamesauce.",,
0,isPlayer Has Died! Sorry ,duplicate_text; ,
4,@JaeKuzco Naw I'm stayin on track so I can be all sexy when I perform. ,,
4,@JuliaBall I'm sure it will seem a lot shallower the next time you look at it.... ,,
0,"I'm in panic, i hate when i get stuck with videogames. I want my life back ",,
0,I'm cold  and bored. And feeling like shit,,
0,@adamficek what's happening to bletchley?!? ,,
4,im taking a break from @mileycyrus gossip and @JustinMGaston/mustin news besides i have a big test and don't need to thing about her/him ,,
4,Hmm may also start up acting lessons again. ,,
4,My very dear friend (that I've known for 13 years) got engaged! Congrats to Mitch and Emily! ,,
0,@car4dave nawww i can handle my family. it's the son of god! he got the wrong idea and rebuffed an advance that wasnt there. ,,
4,@Leuconoe I want to come &amp; visit some day...I want to come to Tuscany ,,
4,@msballin that was too much fun! ,,
4,@ShellyPreston hello fairy lady  xxx,,
4,is sat with rachel trying to find people ,,
0,Bored bored bored bored bored!.! Im so Invisible.!  People dont love me :p,,
0,Ughh.. what a surprise.. Yasmina looks silly... Kate was supposed to won  FOLLOW ME,,
4,watching anderson cooper 360 w/ oreos 'n milk before bed ,,
4,@KevinSpacey  Lord Kevin nice job tonight    ,,
0,@Jackiesig09 Why don't I have you on myspace ,,
4,Bored... I actually think I will play WoW for a little while ,,
4,@AtM24  thanks babe! I used to be really self cautious about them,,
0,"just can't wait for monday, why do I have to work all day ",,
4,"Got back from working at the Foster's, then hung out with Brooke and Holly for a bit. ",,
4,@elissa_howerton That's good  Very good..,,
4,just created a blog! http://OrangeKicksAss.blogspot.com ,,
0,Feels really sick ,,
4,@jmi11ion stfu w/ these &quot;followstats&quot; no one cares!!!! lol &quot;tis light-weight embarrassing son.. lol jp buddy ,,
0,is at home bc of the weather  so ugly outside!!! be back on tomorrow hopefully i gotta study for my test!!!!!,,
0,I wish I had transportation powers.  I WISH..,,
4,watchin' a movie ,,
0,"So far I have had 3 cold showers today, roll on this evening when I can actually do something about it. ",,
4,@BoyceAvenue hi. Are you guys ever coming to Norway? That would have been awesome ,,
0,@YaaaaZ u work in DIFC.. the pics in your blogs brought so many memories.. ,,
4,@NicoleHage Thank you ,non_english; ,non_english; 
0,@jazzBANGER Guess what Jazza? You kicked arse in the geography essay. I sat by myself in Geo today  Come Back!!!,,
4,silly you are right here with me ,,
4,blu is a little bit buggy but still really fun to use ,,
0,@cockneycomic i hae this game!  lol,,
4,nearly everybody gets twitterpated in the springtime ,,
4,@mileycyrus i vote for you at least once everyday ,,
4,@elledeesee I'm kinda thinkin u mite b a nympho... but I feel it's a healthy addiction ,,
4,@Pepsimo Morning...aw i dunno if my neighbours are ready for seeing me in a bikini!!lol Might scare them into movin house!! haha ,,
0,is like black... too tan  http://plurk.com/p/11feqe,non_english; ,non_english; 
4,@SkittleMittens Awww you're such a sweetheart. I'm sure they will really appreciate it  xxx,,
0,i cant move for the next hour lol. as my laptop battery if fully flat and the connection is loose!! ,,
4,Just woke up...yep it is 3 pm!!! but got home from work at 8am :S everyhting hurst but still I heading to run my 2 mile a day session ,,
4,@WH1SKS sorry   i'm in bed already. I don't sleep in clothes.... And i'm can't really take pictures of invisi-knickers ,,
4,Going to Tramici with her amazing boyfriend! I love you Ford! ,,
4,jesse ruben you may enter my heart ,,
0,@mattkuhl hey!  save the decorations for xmas n halloween. What city for the radio....  Are they digital yet? O.o,,
4,@Journopig even at this time in the morning?  are you classing &quot;BT&quot; as rained off yet?,,
0,I MISS BESTFRIENDS!  one month of holiday-----------,,
4,@think_peace nice to see you had a wonderful Sat.  Hello to your friends!  Looking forward to seeing your friends here ,,
0,So...My having learned of the existence of @DearRobot has really changed the way I tweet. I think this makes me an even bigger toolbox. ,,
4,just signed up on twitter ,,
4,My new toadhouse!  I have happy toads   http://jewelzodonnell.blogspot.com,,
4,@louellamarie15 i loooooooove the smell of herbal essences too ,,
0,@erockett89 i wish i was home in bed naked ,,
4,"Someday when im b a richman i wnna go to Bahamas, there was a beautiful beach.. I really want go there ",,
0,@va1d1v1a i want #Bose headphones. ,,
0,@jp_pmntl the boys are fine I lost a kitten tho.. kinda bummed  the only girl,,
0,aw. nick got his heart broken.  poor baby. i love you!,,
4,Hi I would like to give you a good karma for a good karma  (via #zenjar ),,
0,I wish my house didn't look so much like a friggin cruise ship ,,
4,Just got home. Tired as fuck forealll hah. About to eat me some easy mac and pass out. ,,
0,is awake at a stupid hour on his day off! ,,
4,Omg... I needed to go out!! Thanks Mozey!! It was lots of fun ,,
4,"Wow, with no source for organic bean or broccoli sprouts, I think that donut needs to be chocolate covered. ",,
4,Has found new love for twitter ,,
0,@brawngp_fanblog ah thats a shame  lol thanks for trying!,,
4,Can't sleep all I could think about is him ,,
4,@shesALOOF which ones? ,,
4,@PorsheCaina hiya! hehe  wanna be friends?? lol ,,
0,@starshone_storm my bad sorryyyyy I'm a bit lacking in getting internet sarcasm ,,
4,@JoKnowles You guys look adorable! Great work on the costumes ,,
0,@eddieizzard - Greetings from Bulgaria Eddie!  Rainy here  Send some SUN over here please ! Have a fab day ! xxx,,
0,"I am tired tired tired, I think Im getting sick.  ",,
0,"tonight was amazing, but I miss the good old days ",,
4,Finally get 'THE HAIR' thing...if you know what i mean ,,
4,"@soitsjay and now im hear copeinq with my addiction, addiction!! lmfao ",,
4,back in edinburgh tomorrow  england is awesome though,,
4,@iamthebench unfortunately we don't but someday I hope we will need more help. ,,
0,@LaurenConrad plz come 2 the uk ,,
0,Wouldn't recommend a Garmin Edge 705! No data again. ,,
0,back 2 wrk! it sux!  cant wait to go bk hm to wifey!,,
0,"@zackintoys Sadly, it doesn't  I was so hopeful after American Doll Posse, too ... it's just so blah and vacant of dynamic.",mixed_language; ,mixed_language; 
4,they fall through your fingers in flakes... ,,
4,@mileycyrus you are my inspiration to become an actor.  your the best  love ya and I hope to work with you someday,,
0,"Sunday night, getting ready for bed and a full week at work ",,
4,@Smoov747 awww on you're on a date ,,
0,maths is really gay and i hate skool  ,,
0,OMG!!! Why Did I Do It?  Why Did I Drink So Much ,,
0,@pandakabobs  please?,,
0,@eddiekemp watching tv nothing is on and im bored  i need friends haha,,
0,this is my first state of origin for about 4-5 years. didn't see it whilst o/s. but every time I watch Qld lose  will c if curse is broken,,
0,@Rongura  Pretty sure you'll feel better tomorrow ,,
4,"@geechi3 Well, I'd like to anyways, if I am worthy! ",,
4,THERE'S MAD YELLING GOING DOWN ON FACEBOOK. ,,
4,"@lilmomz LOL, &lt;bells&gt;Eden&lt;/bells&gt; should be told that we named a drink after her ",,
4,@moonrockcandy ,,
4,"ahhh. i meant chowder ung cartoon character XD haha, kasarap gd ng seafood chowder dun &lt;3 i order it every time there ",,
4,@DavidArchie you're really cool~!! you always smile  can't wait for your concert on Saturday ,,
0,@MikeCampbe11 Sorry to hear about your Pap ,,
4,@ClubGreg i'll call it what i want. ,,
0,I miss my Boss B*tches!!!!  @esmitty22 @trubuty @reeshybaby @blairangela @twostep05,,
0,"Wow, it's not raining at the moment...oh but we're supposed to have thunderstorms all weekend  I want sunshine not a cloudy day",,
4,HAY OMG GO TO ADDICTINGGAMES.COM AND PLAY SARAS SUPER SPA ITS FREAKING ADDICTING ive been playing it for 8 hours ,,
0,i miss my classmates! ,,
4,"So, all your followers just saw that you said they're annoying? ",,
4,I wanna get a hedgehog..and I'm gonna call it Sgt. Pepper..deal with it! ,,
4,@fErNniii ok awesome .....if u do check it out later i hope u like it but it does has mature content in it ...... just warning u ,,
0,@thenoodleator I did. Sorry about your Nanna. ,,
0,Big dose of nothingness for dinner  I hate missing the gym,,
0,"http://twitpic.com/68x01 - Sill woman who pulled out in front of me, not too bad, but is a new Audi ",,
0,My head isn't healing well it feels that way ,,
4,@BrentCorrigan00 http://twitpic.com/7imex - all that's missing is you in the middle Brent! ,,
4,@PlusSizeMommy Depends on whom you ask. No more than 10 ...EVER ,,
4,"@zaneology That's funny! He IS a clever one!  (Sad, though, that the kind of joke *I* would come up with is on a 4-year-old level  )",,
4,@indykitty *hug indykitty* sleep tight indy... ,,
0,@M_iSsY me to.  ,,
0,I'm ready to chill and watch the movie awards tonight. I need a pick me up- but we have no coffee. ,,
4,"I like calls like that. Even though you use me just to keep you awake, I'm completely fine with that. ",,
4,"@bellaborah If you want, we can totally give you guys digital copies after we receive them ",,
0,@deepthipola things would be difficult!! How can I find her next to my room for real?? ,,
0,just lost a drag race ,,
4,@nezua I'm doing much better now. Still have a sore throat but everything else is great  wut u doing 2nite,,
0,i made jiffypop because we have a gas stove here. only to find out it is loaded in trans- and saturated fats  i opted for triscuts.,,
4,@garthk cheers for the aptism link ,,
4,@mskathy i had some cake for breakfast lol it was pretty good ,,
4,off to iron out those drawing muscles...massage awaits ,,
4,"@jordanknight Good Night JK, You do look good Hun, Glad You know it!  xx lol",,
4,@Wil_Anderson I believe your remark about The Chaser's Sick Kid sketch on GNW was timely. Made people think a bit. Tank you ,,
4,I love republic!!!!!!!' it's a good night! ,,
0,hates how we never talk anymore. wtf is your problem?  ,,
0,MOODY. Simply muooooooody. Got replacement cwk to do over the summer  No shuda this shuda tht pleaaaaase.,,
0,watching One Tree Hill season 5 (best season) .. ahh one hour just isn't enough ,,
0,Need to go to Walmart.  ,,
4,Happy Star Wars Day. MAY THE 4TH BE WITH YOU ,non_english; ,non_english; 
0,@marleywarley awwww you are?! No I'm not working right now I'm back home in the bay ,,
4,@vineetvb  Welcome to Twitter! ,,
0,have to finish up my homework right now ,,
4,"I have almost mastered the @mileycyrus hoedown throwdown dance  yeahhhh, haha",,
4,Having dinner at Jiuliani's with family YUM!!! ,,
4,..how many eggs did he find?? ji! ji!  up!,,
0,"@hctc How many batches of cookies do I need to buy for you guys to DO SOMETHING for us in Fredericksburg? Verizon, sadly, is doing zippo ",,
0,Went to a bbq at Janet's.   Out of the nuggets loop but think they lost due to facebook comments. ,,
0,i just got my butt beat in monopoly ,,
0,@MajorProblem  That sounds so good. You are evil. Next time keep that info to yourself. Sigh...,,
4,now for a night of driving places to see smiling faces ,,
0,i REALLY hope my parents don't make me stay home for being sick ,,
4,Woot! New starbucks store layout ftw!! ,,
0,"@moniquedao I know, I always get tired after getting a shot, I hate shots. I feel like crying everytime I'm about to get a shot ",,
4,"Dear new followers, I've not forgotten you. I'm not ignoring you. I'm behind. Tweet me a time or three and get my attention. ",,
0,Saw my first 3G S #iPhone tonight. I now have iPhone envy. My 1st Gen seems real slow and jerky since Pwning it this morning. Harumph! ,,
0,@mitchelmusso Mitchel you have no idea how much I want to call you!! but it costs loads to call from england!!! ,,
4,"@lienaun you must be louis Vuitton, not reebok-in... while you drink that fresca ",,
4,"@Ilkee mwahaha, sure you can twitter over here darling ",,
4,hugging a friend with one arm and typing this tweet with the other hand. my friend is very huggy. he likes hugging me. ,,
4,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,,
4,jus read neil gaiman's Coraline... Magical and creepy ,,
