text,label,reason,lang_is_en
i just feel really stressed out about the whole situation,0,duplicate_text; ,True
i feel i have been humiliated,0,non_english; ,False
i feel passionate about my calling,1,duplicate_text; ,True
i feel like im so infuriated,3,non_english; ,False
i am still feeling shocked,5,non_english; ,False
i feel like i am not affectionate enough,2,non_english; ,False
i used to feel quite despised,3,non_english; ,False
im feeling beaten,0,non_english; ,False
i feel sprinkles and get somewhat irate,3,non_english; ,False
i feel rotten loads to do or i d sleep all morning,0,non_english; ,False
i have never been in the tents myself i feel somewhat jaded,0,non_english; ,False
i open a site in my browser i feel agitated because,4,duplicate_text; ,True
i reherse high i feel less inhibited and more free and every time ive ever gone to rehersal stoned i have been complimented on my performance not that i need compliments to feel confident but they support my theory,0,duplicate_text; ,True
i feel your fear sweet one,2,non_english; ,False
i feel siente me john jogurt remix a target blank target blank href http www,0,non_english; ,False
i didnt feel bad for myself,0,non_english; ,False
i feel regretful not able to take part,0,non_english; ,False
i feel lame even saying it,0,non_english; ,False
i feel a bit sarcastic,3,non_english; ,False
im awake but feel agitated,3,non_english; ,False
i just feel squirmily dissatisfied,3,non_english; ,False
i feel helpless and fallen like i ve never felt so before,4,non_english; ,False
i end up feeling all funny in my stomach,5,non_english; ,False
i feel terribly helpless sometimes but even with the limited spiritual awareness that i have i am able to find the answers as i know the end is not the outcome of my decision i ll be able to move on readjust pick up the pieces re centre myself or enjoy my decision,0,duplicate_text; ,True
i feel that the time has come for the wire join the ranks of beloved shows i own of dvd,1,duplicate_text; ,True
i feel so sweet and man,2,non_english; ,False
i loved seeing the guts of the pumpkin and found the inside to be very strange feeling and also strange smelling,5,duplicate_text; ,True
i feel kicked and broke down,0,non_english; ,False
i am feeling overwhelmed and frustrated,4,duplicate_text; ,True
i feel i hate not trusting you,1,non_english; ,False
i feel supporting susan g,1,duplicate_text; non_english; ,False
i feel as one a fond farewell,2,non_english; ,False
i keep moving i feel successful already,1,non_english; ,False
i feel overwhelmed and have no idea where to focus my energy besides to take care of omar bottles and diapers hugs and kisses,4,duplicate_text; ,True
i feel tortured by this thought but it feels so true,4,duplicate_text; ,True
i find myself feeling very very violent lately,3,non_english; ,False
i feel really shaken up,4,non_english; ,False
i feel a bit weird about the outfits ive been posting recently,5,duplicate_text; ,True
i didn t feel accepted,2,non_english; ,False
i wont feel like i can or even entertained enough to listen,1,non_english; ,False
i just feel blessed,2,non_english; ,False
i feel like this will be an amazing series and will be epic in the movie theater,1,duplicate_text; ,True
i often feel paranoid too,4,non_english; ,False
i feel divine beautiful blessed,1,non_english; ,False
i feel like i m in an increasingly strange land,4,duplicate_text; ,True
i left feeling shaken,4,non_english; ,False
i feel i have irritable bowel,3,non_english; ,False
i feel like i am being tortured,3,non_english; ,False
i tend to put on a happy face around the rest of the world because i feel i must in order to be accepted,2,duplicate_text; ,True
i need someone to make me feel horny,2,non_english; ,False
i feel like i would have liked them sooner,2,non_english; ,False
i feel like it and detaching from the need for sweet,1,duplicate_text; ,True
i feel amazing about tonight,1,duplicate_text; ,True
i never feel like im not supporting,2,non_english; ,False
i feel strange because i m not binary gendered but i still don t feel like i fit anywhere,5,non_english; ,False
i feel pretty vile,3,non_english; ,False
i did not let you feel angry,3,non_english; ,False
i feel remorseful for killing a live being,0,non_english; ,False
i didnt feel afraid i was made to feel different and unwelcome,4,non_english; ,False
i really liked killer although i never even got to the nd disc though so i feel like supporting the developers,2,duplicate_text; ,True
i feel generally lousy,0,non_english; ,False
i feeling generous,2,non_english; ,False
i dunno why i still feel a little stunned,5,non_english; ,False
i feel like i stressed something in my hip,3,non_english; ,False
i feel a bit violent maybe,3,non_english; ,False
i walk out with the lingering feeling that i have not been as faithful as i should usually spot on,2,duplicate_text; ,True
i just feel hes perfect,1,non_english; ,False
i feel im stunned,5,non_english; ,False
i do feel bitchy declining people,3,non_english; ,False
i feel very agitated,3,non_english; ,False
i do not feel loved i feel like a caregiver,2,non_english; ,False
i would be feeling amazing soon,5,non_english; ,False
i feeling deprived,0,non_english; ,False
i feel weird tonight,5,non_english; ,False
i feel so disappointed in myself,0,non_english; ,False
i drove into the premises of the school the feeling was strange,5,duplicate_text; ,True
im feeling the sweet sweet swell of relief washing over me,2,duplicate_text; ,True
i havent written in two days so i feel i owe it to all my faithful fans to update,1,duplicate_text; ,True
i feel like im on a weird vacation except im working full time so its not a vacation at all,4,duplicate_text; ,True
i feel joe is more dangerous he talk talk talks,3,non_english; ,False
i feel like that s so weird that i had cancer that one time,4,duplicate_text; ,True
i share with retired general alan stretton the feeling that it is time we withdraw from that tortured country,4,duplicate_text; ,True
i feel the desire for something sweet i now take a banana or some tinned fruit,1,duplicate_text; ,True
i feel real lame,0,non_english; ,False
i feel idiotic,0,non_english; ,False
i feel my face get hot,2,non_english; ,False
i feel a little bitter,3,non_english; ,False
ive been feeling so violent lately,3,non_english; ,False
i feel so strange so completely unafraid,5,non_english; ,False
i am anticipating learning lots feeling overwhelmed but not sucked under and am reminding myself that i can do all things through christ who strengthens me,5,duplicate_text; ,True
i feel my heart aching,0,non_english; ,False
i am feeling agitated and angry that nothing is working out for me,4,duplicate_text; ,True
i must live for me and for you if we were wholly united you would feel the pain of it as little as i my journey was a fearful one i did not reach here until oclock yesterday morning,4,duplicate_text; ,True
i feel that supporting or at least not condemning the seal hunt is akin to saying well think of all the good things hitler did,1,duplicate_text; ,True
i feel like reading about me being kinda miserable gets old,0,non_english; ,False
i really do it till i feel mad,3,non_english; ,False
i want to feel gloomy,0,non_english; ,False
i feel morose for my mom,0,non_english; ,False
i feel so proud hahahaha,1,non_english; ,False
i ignored my feelings i ignored myself,0,non_english; ,False
i feel so strange about it,4,duplicate_text; ,True
i dun feel insulted,3,non_english; ,False
i still feel happily surprised,5,non_english; ,False
i feel like i m up to my neck in greedy people,3,non_english; ,False
i feel like i dream an awful lot,0,non_english; ,False
i felt and still do feel irritable,3,non_english; ,False
i am feeling so adventurous,1,non_english; ,False
i feel slightly dangerous,3,non_english; ,False
i allowed myself to take a peek and feel into the consciousness of our beloved planet,1,duplicate_text; ,True
i just feel grouchy,3,non_english; ,False
i feel this i get irritable,3,non_english; ,False
i promise it will feel amazing,5,non_english; ,False
im a pinterest fan but i can allow the tendrils of feeling overwhelmed and insufficient slip in as i scroll through the pages,5,duplicate_text; ,True
i feel more productive,1,non_english; ,False
i feel very weird about so much of my psychological safety coming from noah providing money,4,duplicate_text; ,True
i am feeling a bit strange and thinking about my actions in the past month span,5,duplicate_text; ,True
i am feeling pretty stressed and exhausted,3,duplicate_text; ,True
i wanted to tell this person before they left but i though they might take it the wrong way or feel weird about it,5,duplicate_text; ,True
i end up feeling irritated,3,non_english; ,False
i am still figuring out how i like it set for flat and uphill for flat dropping the fork to kinda feel weird but i think i am just used to my old bike,5,duplicate_text; ,True
i feel agitated and uneasy in my skin and then an uneasy stillness comes over me,4,duplicate_text; ,True
i can feel your gentle care,2,non_english; ,False
i feel like i am a precious treasure,1,non_english; ,False
